month, method, order size, ground truth, overlapped ordres, predict
201808, rank,  1,  66,  0,  0
201808, rank,  2,  682,  101,  688
201808, rank,  3,  1476,  34,  253
201808, rank,  1,  66,  0,  0
201808, rank,  2,  682,  104,  698
201808, rank,  3,  1476,  38,  254
201808, rank,  1,  66,  0,  0
201808, rank,  2,  682,  102,  671
201808, rank,  3,  1476,  41,  252
201809, rank,  1,  86,  0,  0
201809, rank,  2,  1965,  543,  3184
201809, rank,  3,  3380,  259,  1776
201809, rank,  1,  86,  0,  0
201809, rank,  2,  1965,  546,  3202
201809, rank,  3,  3380,  251,  1788
201809, rank,  1,  86,  0,  0
201809, rank,  2,  1965,  548,  3192
201809, rank,  3,  3380,  254,  1779
201810, rank,  1,  65,  0,  0
201810, rank,  2,  1287,  231,  1537
201810, rank,  3,  2114,  90,  596
201810, rank,  1,  65,  0,  0
201810, rank,  2,  1287,  238,  1579
201810, rank,  3,  2114,  87,  594
201810, rank,  1,  65,  0,  0
201810, rank,  2,  1287,  234,  1550
201810, rank,  3,  2114,  95,  604
201811, rank,  1,  78,  0,  0
201811, rank,  2,  1132,  191,  1458
201811, rank,  3,  2018,  65,  500
201811, rank,  1,  78,  0,  0
201811, rank,  2,  1132,  189,  1459
201811, rank,  3,  2018,  68,  496
201811, rank,  1,  78,  0,  0
201811, rank,  2,  1132,  189,  1445
201811, rank,  3,  2018,  69,  501
201812, rank,  1,  38,  0,  0
201812, rank,  2,  1028,  148,  1081
201812, rank,  3,  1779,  32,  298
201812, rank,  1,  38,  0,  0
201812, rank,  2,  1028,  152,  1081
201812, rank,  3,  1779,  34,  319
201812, rank,  1,  38,  0,  0
201812, rank,  2,  1028,  155,  1070
201812, rank,  3,  1779,  40,  323
201901, rank,  1,  93,  0,  0
201901, rank,  2,  1316,  286,  1886
201901, rank,  3,  2014,  67,  596
201901, rank,  1,  93,  0,  0
201901, rank,  2,  1316,  279,  1942
201901, rank,  3,  2014,  67,  588
201901, rank,  1,  93,  0,  0
201901, rank,  2,  1316,  284,  1896
201901, rank,  3,  2014,  67,  606
201902, rank,  1,  90,  0,  0
201902, rank,  2,  1113,  211,  1335
201902, rank,  3,  1888,  82,  519
201902, rank,  1,  90,  0,  0
201902, rank,  2,  1113,  198,  1334
201902, rank,  3,  1888,  69,  502
201902, rank,  1,  90,  0,  0
201902, rank,  2,  1113,  210,  1307
201902, rank,  3,  1888,  81,  523
201903, rank,  1,  56,  0,  0
201903, rank,  2,  1040,  159,  1140
201903, rank,  3,  1820,  94,  573
201903, rank,  1,  56,  0,  0
201903, rank,  2,  1040,  161,  1153
201903, rank,  3,  1820,  99,  575
201903, rank,  1,  56,  0,  0
201903, rank,  2,  1040,  158,  1153
201903, rank,  3,  1820,  97,  591
201904, rank,  1,  45,  0,  0
201904, rank,  2,  821,  122,  786
201904, rank,  3,  1443,  31,  254
201904, rank,  1,  45,  0,  0
201904, rank,  2,  821,  118,  753
201904, rank,  3,  1443,  38,  250
201904, rank,  1,  45,  0,  0
201904, rank,  2,  821,  103,  755
201904, rank,  3,  1443,  42,  254
201905, rank,  1,  65,  0,  0
201905, rank,  2,  1151,  250,  1660
201905, rank,  3,  2179,  78,  645
201905, rank,  1,  65,  0,  0
201905, rank,  2,  1151,  247,  1654
201905, rank,  3,  2179,  89,  663
201905, rank,  1,  65,  0,  0
201905, rank,  2,  1151,  246,  1605
201905, rank,  3,  2179,  82,  652
201906, rank,  1,  35,  0,  0
201906, rank,  2,  427,  10,  121
201906, rank,  3,  788,  2,  36
201906, rank,  1,  35,  0,  0
201906, rank,  2,  427,  12,  101
201906, rank,  3,  788,  4,  53
201906, rank,  1,  35,  0,  0
201906, rank,  2,  427,  7,  96
201906, rank,  3,  788,  2,  44
